,Modified_Commentary
29,"out Caught by Warner!! It was an experiment from Warner and it has paid off. Completes the catch, turns towards the crowd and does a fist pump. team have lost two in quick succession. Both set batsmen gone. Slows it up as batsman gives the charge, he goes through with the loft even though he isn't to pitch of the ball, miscues it towards long-off and Warner ain't dropping those. batsman c Warner b bowler 32(21) [4s-2 6s-3]"
30,"FOUR, lots of flighted and lands as a half volley, batsman gets a good stride forward and drives it past Henriques at extra cover, the timing was superb as long-off had no chance of cutting that off"
31,"FOUR, ordinary delivery from Rashid and Jadhav is all over it. The young man is shaking his head while taking his cap from the umpire. Half tracker which sat up nicely for Jadhav, who pulls it between deep mid-wicket and long-on"
32,"SIX, that looked like a half-hearted shot from Jadhav and it has travelled the distance. Picked the back of a length delivery and pulled it to the vacant deep mid-wicket region, just cleared the rope"
33,"FOUR, batsman does the most of the full length delivery, stays deep in the crease and opens himself up to free his arms, smashes it straight down the ground and even a quick Warner could not reach that from long-on"
34,"FOUR, lovely shot, sublime timing on that one from batsman, it wasn't anything more than a back-foot punch. This was a back of a length delivery outside off, he got on top of the bounce and placed it in the gap past point"
35,"FOUR, smashed, width on offer from Choudhary, batsman gets forward and thumps it over mid-off, couple of bounces and over the ropes"
36,"SIX, .. and batsman makes the most of the free-hit. Another pretty poor ball from Choudhary, short and just outside off, batsman rocks back and pulls it high and over mid-wicket, went sailing into the stands for the first six of IPL 10"
37,"out Caught by Mandeep!! The night has changed completely for the 27-year old team debutant. batsman has been dismissed for less than fifty for the first time against team - when he's playing for team. On a good length and well outside off, it was there to be smacked, batsman didn't go through with the shot completely, he was just looking to clear the infield. Mandeep times his jump to perfection at point and completes a good two-handed catch. batsman c Mandeep b bowler 14(8) [4s-2 6s-1]"
38,"FOUR, oh boy. He's toying around with the bowling out here. bowler looks to go wide outside off with the shortened length as well. But batsman in all his confidence walks across, crouches and half-pulls, half-sweeps it past the reach of the man at 45-degrees behind square"
39,"out Caught by Sachin Baby!! This was coming. It really was. Tactical aggression here from SD with his dance down the track looking to smoke some into the clouds. Does everything in getting right to the pitch of this fuller one as well, swings mighty too, just that he skews it off the toe end. All the altitude and into the safe palms of Baby at long-on. batsman c Sachin Baby b bowler 40(31) [4s-5]"
40,"FOUR, here's the pick up. Vintage batsman. Helped by an allying half volley on the pads at gentle pace and all he does with it is lovingly lofts his flick. All the timing and a bounce into the mid-wicket fence"
41,"FOUR, streaky. But the runs keeps leaking. Does it really matter how. Wide, half way down the track and batsman anticipates the ball to fizz up in flat batting it across. There's barely any climb, and all he gets is the inside edge to impart the direction in guiding it just past the sticks"
42,"SIX, whoa. This is getting back in the 2007 zone. Choudhary without a clue as to where to bowl goes full and wide. The mind-reader gets the front leg out and unleashes a full bat swing showing the maker's name in tonking it right on the extra cover ropes"
43,"FOUR, and it keeps getting better. Rocks back, stands tall, waits for the short drag down to sit up and swats in his swivel. All the crunch in the timing to reintroduce it back into the fence"
44,"1 run, oh Aravind. You really do not grant a life. Certainly not to this guy. Another compulsive pull here from batsman but with the ball gaining in height, only manages the top-edge. Right into the hands of fine leg, who slides and makes an absolute mess"
45,"FOUR, back to the usual. Is this a surprise anymore. This time the skipper decides to test him with a short one, one that neither has the pace nor the bounce. And obliged with a swat. As flat as you'd want"
46,"FOUR, on the charge. And the slap. The combo bags yet another fence hunter. Walks down, intercepts the length and gets on top of the bounce of this back of a length delivery in flaying it in front of square"
47,"SIX, into the first tier. And a standing admire from batsman. bowler serves a pie with the short sitter and heaved away. So very typical. Equally friendly bowling here as well"
48,"SIX, now batsman joins the act. Wants to ive his partner a run for his money. A run for some crowd catchers. Keeps banging it in short with the pitch sucking away all the momentum. Another mow across to give the crowd some work. Brings up his fifty. In some style"
49,"out Caught by Sachin Baby!! Some normalcy restored. And as always is the case, it is spin that gets on that duty. bowler doesn't mind giving it some air inviting the big swing. And gets just that. A full-blooded tonk down and skewed away. Almost teases Baby at the long-off fence with this one threatening to fly over, before the bucket hands facing upwards come to the rescue in plucking it out. They're checking the foot's behaviour - just inside the permissable limits. batsman c Sachin Baby b bowler 52(37) [4s-3 6s-2]"
50,"1 run, is that a bird? Is that a plane? Oh it is Mandeep Singh on his flying ways. batsman goes through with yet another ones of his delightful airy drives. Is in the process of admiration just as Mandy runs across at the long-off fence, leaps and pulls it back into the field of play. Almost plucked it out while landing down too. Oof"
51,"FOUR, head on. The battle continues. With Mills keen on cramping him up with the short pepper gets it barely up to the ribs. Just when he spots the bat going flat and the face pointing upwards in hooking it away. Behind square it flies"
52,"SIX, the march to the double ton gets another gear. And some help from Chahal in tipping it over the fence. Hooda opens up and uses his entire height to good effect in his tall pull. Mid-wicket takes another one in its kitty"
53,"FOUR, a salute in celebration. Takes the bat to his head in holding it up to his team mates inside. Covers all his sticks with a shuffle and after getting bored of the wides throws the kitchen sink at it and slaps it over point. #HisFastestIPLFifty"
54,"FOUR, full, down leg. Nothing right with that. Certainly not if fine leg is inside. Certainly not if that man is Chris Gayle. All batsman has to do is get the bat down in giving it some tickle. And places it wide and into the ropes"
55,"SIX, the murder continues. Mass murder. Another spirit buries itself inside this pitch. Overcompensates going short, going quick but the response is quicker. Is brutal too. Back to his high backlifted pulls. Gravity too cannot pull it down"
56,"out Bowled!! The zings light up. The crowd refuses to believe and keep searching for the ball. Nope, that's the end of the fun in store folks. Mills for a change aims for the stumps, going slower as well. Nicely off the back of the hand and foxes him with the seam position. A swat across the line is missed eventually and the top of leg takes the brunt. This has been some serious clock roll back here. Makes me feel 10 years younger. batsman b bowler 62(27) [4s-7 6s-3]"
57,"SIX, the yorkers too cannot stop the bleeding. batsman rocks way inside, crouches, gets underneath the supposed yorker and carries on from the finals a year ago in tonking the drive"
58,"FOUR, eventful first over from Choudhary, a wicket and 16 runs. Another freebie to end his over, short and wide outside off, batsman was all over it as he cracked it square past point, beats the inner ring and rolls away to the fence"
59,"SIX, a dramatic photo finish. bowler tries another short one but this time batsman ain't surprised. Stands up, uses his entire height to good effect and smokes it away. Admiring it as he does so. As flat as the bat motion could get"
60,"1 run, a direct hit at the bowler's end and batsman was struggling. He was coming back for the second run, Dhawan didn't respond one bit. Aravind was the man with the throw and he sent it to the keeper. Kedar Jadhav still had time to effect the run-out, but his shy is way off-target. batsman scrambles home with a dive. Coming to the ball, it was flat and wide of off, punched to the left of long-off"
61,"FOUR, too short from bowler, can't bowl those at his pace. batsman swivels across, rolls his wrists and pulls it behind square on the on-side for a boundary"
62,"FOUR, gentle loosener from bowler, short and on batsman's hips, he swivels across, uses the pace on the ball and helps it behind square on the on-side for a boundary"
63,"FOUR, lovely shot, batsman is getting into his groove now. Comes down the track, doesn't get close to the ball, that allows him to free his arms and drill it back past the umpire, no need to run for those"
64,"FOUR, juicy full-toss and batsman has put it away, turning out to be an expensive start from bowler. batsman leans into the shot and finds the gap wide of mid-off, no need to run for those"
65,"FOUR, make that four fours of the over, banged in short and on the stumps, batsman swivels across, rolls his wrists and pulls it behind square on the on-side. bowler was expensive in the final of IPL 2016, he has started badly here once again"
66,"SIX, massive, batsman shimmies down the track, makes room as he did so and goes high and over long-on, went a long way into the stands. Watches in admiration as the ball kept going and going"
67,"FOUR, thank you bowler says batsman as he clips a leg-side dross fine to claim his first boundary"
68,"FOUR, length ball outside off and batsman is away. Swats it across the line and gets it wide of mid-on"
69,"FOUR, shuffles across and flicks a ball from middle stump, easily done. With fine leg inside the ring that was always asking for trouble, batsman obliged"
70,"FOUR, bowler not getting the googly right. Again down leg and this time Rana gets a bit of bat/glove on that. The ball races away fine beating the short fine fielder"
71,"out Caught&Bowled!! Thank You! A typical Bhatia wicket. Foxes the batsman with a 116kph delivery and batsman is found checking his drive, spoons a straightforward chance and Bhatia accepts the dolly. Once again the Delhi man showing his variety and the key to his success has been the length. It was on a good length and batsman thought it was there for the drive. Not to be. batsman c and b bowler 10(12)"
72,"SIX, bowler would be proud of that shot. Banged in halfway down and the line was around off, Rana is quick to transfer his weight onto the back foot and nails the pull over deep square leg. Third six that bowler has conceded"
73,"out Caught by Dhoni!! First Tahir and now Bhatia. The slow bowlers are doing it for team. Bhatia lets out a roar as soon as MS completes the catch. He's been exceptional with his variations. This offie was bowled at 96kph, Pandya just didn't have the pace to slog it across the line, the top-edge skies up and Dhoni calls for it. Takes it in his own unique way, one leg up in the air. batsman c Dhoni b bowler 3(5)"
74,"FOUR, batsman welcomes him with a thumping drive. Bit of air and batsman plants his front foot forward, smashed it straight back over the bowler's head. Didn't bother to run, he knew he had middled it"
75,"FOUR, batsman goes downtown once more and gets the desired result. bowler goes fuller with the tossed up delivery and batsman drills it straight back at bowler, who is slow to get down and stop it"
76,"out Caught by R Bhatia!! Bhatia has made amends. Put a sitter down early in the innings, this time keeps his eyes on the ball and ends Rana's knock. It was the googly which was drifting away from the southpaw, Rana went down and slog swept it flat, Bhatia didn't have to move at deep mid-wicket to pouch that. batsman c R Bhatia b bowler 34(28) [4s-1 6s-2]"
77,"SIX, bowler shouted ""catch it"" and there was no way anyone could have caught that. The South African goes a tad fuller in his length and that enables batsman to get underneath it, slams it flat and over long-off for a maximum"
78,"no run, was that a drop? Need another look. Wide yorker outside off, batsman bends down to squeeze it out, the ball takes the under-edge and goes low to Dhoni's right. The former skipper goes with one hand and spills it. Tough one for Dhoni and bowler's unlucky day continues, second drop off his bowling"
79,"FOUR, unlucky and bowler have been synonyms today. Full and outside off, batsman throws everything he's got at that and the outside edge flies away fine and bowler just stands there in his teapot position"
80,"out Caught by Mayank Agarwal!! bowler gets the better of the West Indian. But credit has to go to Mayank Agarwal, he's pulled off a stunner. Length delivery and batsman miscued his loft, came more off the base of the bat. It was dropping in front of long-on before Mayank dived full length and grasped it inches from the ground. He didn't allow it to pop out even as he hit the ground. batsman c Mayank Agarwal b bowler 27(17) [4s-3 6s-1]"
81,"SIX, batsman nails this. He should have tried this shot on the previous ball. Once again gets his front leg out of the way to give him a free swing, bowler makes his job easier by bowling a length delivery, tonked straight back over bowler for a maximum"
82,"SIX, consecutive sixes for team. bowler missed his yorker by a few inches and is launched into the crowd. Low full toss outside off, Pandya keeps a firm base and carves it over point. Went a long way back into the stands"
83,"SIX, bowler attains normal services. Three sixes in a row. Pandya getting into the thick of things. Length delivery and Pandya dismisses it over long-off. Just stood there and dispatched it with disdain"
84,"SIX, make it four in a row. bowler and death overs are not the best of mates. He goes full and misses the yorker by a couple of inches, Pandya had enough to get under that and smack it over long-on"
85,"FOUR, four more. Already 22 off the over. A game-changing over this. Fifty up for bowler. Full and wide outside off, Pandya throws the kitchen sink at that and the outside edge flies wide of Dhoni"
86,"SIX, Smith has a worried look as Pandya sends another one crashing over the rope. Switched to back of a length and the result remained the same, Pandya went back and nailed it over wide long-on. Pinged the ad hoarding on the full"
87,"FOUR, sat up on a perfect length to be smashed, batsman rocks back and nails the pull over mid-wicket. Take four!"
88,"FOUR, this pitch is a belter, 180 is a must. Half-volley outside off, batsman stands tall and slams it straight of mid-off who dives in vain"
89,"wide, out Southee Run Out!! Where was Southee going? He might have thought that it was the last ball of the innings, but Pandya was sure that it was a wide and there would be an extra delivery. bowler fires it outside off, Pandya can't reach it and Southee was at the other end by the time Pandya could react. Dhoni lobbed it to bowler, who took care of the rest. The third umpire checks if the batsmen had crossed, Pandya got his back foot in before Southee could reach the crease. It's touch and go, but Pandya will cling on to the strike. Southee run out (Dhoni/bowler) 7(3) [6s-1]"
90,"1 run, dropped by Bhatia. A straightforward chance. batsman doesn't get control of the cut and he slices it straight to third man, Bhatia didn't even need to move an inch. It was going arrow straight towards his chest. Straight in and straight out. Oops!"
91,"SIX, for the first time this over, he pitches it up and batsman goes bam! Gets underneath it and launches it for a maximum over long-on"
92,"SIX, bowler turns back and smiles. That's all he could do. Ridiculous T20 batting on display. batsman shuffles and scoops a pacy length ball over the keeper's head, lands just over the advertising triangles. Back to back sixes for batsman"
93,"FOUR, floated full on leg-stump, batsman sits up and brooms it away with sheer disdain, rocketed away behind square"
94,"out Bowled!! Knocked him over. bowler is off with his marathon sprint. The crowd go bonkers. It was a slider, just skids on and slaps batsman's leg peg as he fails to connect with the slog sweep. Got too greedy and paid the price. batsman b bowler 19(14) [4s-4]"
95,"FOUR, gives himself a lot of room as he skates down the pitch, pierces the gap between extra cover and mid-off to perfection. Fast hands, full flow of the willow. Jos-outrageously-talented-batsman"
96,"SIX, that's gone flying into the stands. Greyhounds out of his crease, picks the bones out of it, a Tennis-esque flat-batted smite over wide long-off"
97,"out Bowled!! And again, Imran bowler is on fire. He's just unstoppable at the moment. A canny skidder this, just keeps going with the angle and clatters batsman's stumps. He may have got a bit of inside edge there. He wasn't fully forward, neither backward. Poor feet movement. batsman b bowler 3(7)"
98,"out Lbw!! Inside-edge onto pad, but doesn't matter, the umpire has his finger up. No turn, just goes flat and on the stumps, batsman is stuck inside the crease, tries to block off the front foot and ekes a big edge onto his pad. In real time though it appeared as if it had gone straight towards his pad. Wasn't to be. Big moment in the game? batsman lbw b bowler 38(19) [4s-3 6s-3]"
99,"1 run, direct hit and batsman was gone! Smith was the fielder, curses himself after he missed the target. A casual knock down the wicket from batsman, goes straight to mid-off, Smithy had ample time to target all three at the non-striker's end. A big miss"
100,"SIX, half-tracker and gone! Lovely swivel-pull from batsman, lands bowler over the mid-wicket fence, brute power!"
101,"FOUR, edged and four, streaky but Mayank will take those. There wasn't a first slip, Buttler dived to his left from second, but can't get to the ball. On a good length and holding its line outside off, Agarwal just hung his bat at that, the edge bisected the keeper and second slip to perfection"
102,"FOUR, he's peirced the gap to perfection, just a tiny gap between the fielder at point and cover-point and batsman found it. Played with an open face, allowed the ball to come onto him and gets it in the gap past point"
103,"FOUR, edged and four, on a good length and in that channel outside off, drew batsman into the drive, he went with hard hands and gets a thick edge past the lone slip, rolls away to the fence in a hurry"
104,"FOUR, lovely shot, on a good length and well outside off, batsman gets a big stride forward and lifts it over the head of the man at mid-off, couple of bounces and over the ropes"
105,"out Caught by Nitish Rana!! A slight misjudgement from Rana in the deep but he's recovered really well here. The umpires want to have a second look. But I think the catch was clean enough. Soft signal is out, and we will stay with out. A back of a length delivery, batsman slogs it across the line and hits it flat and straight towards deep square leg. Rana is slightly guilty of sleeping on it. He doesn't really move from his position, expecting it to carry comfortably, and has to dive forward in the end. Snatches it right off the turf. bowler has struck first ball of a new spell. team needed that. batsman c Nitish Rana b bowler 60(34) [4s-6 6s-3]"
106,"FOUR, heaves the pull away over mid-wicket. He was quickly in position for that. Short of length from bowler and the ball just sits up. batsman drags it from outside off with a lot of muscle"
107,"FOUR, plants his back foot at least a couple of feet outside off, rocks back, and mows the pull through square leg. The footwork had batsman written all over it"
108,"FOUR, that will run away. bowler strays in line and bowls it on leg-stump. batsman simply had to glance it away past the fielder at short fine leg. Neat wrists"
109,"1 run, dropped! It's Nitish Rana in the deep. The ball flew towards his left and he was on the move but he got there with both hands. Exquisite timing on the short-arm pull from batsman. It's precisely that which gets him in trouble. Rana provides the reprieve. The ball actually hit him flush on the shoulders. That's quite an error. Huge moment"
110,"FOUR, oh poor ball. A short of length delivery which sits up around the waist and batsman drags it away past short fine leg. Big decision to get bowler in here"
111,"SIX, it's not working. batsman is just too good for bowler. His slower balls do work sometimes but this is just different class. batsman picks it up, waits on it and swipes it over deep mid-wicket"
112,"FOUR, he's absolutely crashed this through extra-cover. A full, wide ball with mid-off up. Not sure what the thinking is. Whatever it is, the execution of it is way off target. Misses the yorker by a long way and batsman pummels the drive"
113,"2 runs, fifty for batsman. This guy, huh, unbelievable. He comes off a 499-run series in Tests and now belts a half-century in his first IPL X innings. Clips a short of length off-cutter from outside off and rushes back for two"
114,"FOUR, rare error in the field from Pollard. It would actually be harsh in calling that an error for most fielders, but this is Pollard we're talking about. A mistimed slog from batsman. However, he still places it to the left of long-on where Pollard sprints and dives across trying to flick the ball in, but fails to get a hand"
115,"out Caught by Southee!! Another miscue, this time it goes straight to hand. Was it an off-cutter from Pandya? Might have been. It was there on a length though but batsman doesn't get hold of it and holes out at deep mid-wicket. The crowd erupts with ""Dhoni, Dhoni"" chants. batsman c Southee b bowler 21(14) [4s-3]"
116,"FOUR, how good is he! Susses out the plan from bowler based on the line he's been bowling in this over so far, waits on the ball and just slices it past short third man"
117,"FOUR, that's been dragged all the way to the wide long-on fence. Pure despair for bowler. He's bowled this so wide of off and to see the ball being swatted into the on-side is downright demoralizing"
118,"FOUR, there we go. batsman isn't to be denied for too long. A bit shorter than the previous couple of deliveries, and batsman pulls it away to the fine leg boundary. One bounce and over"
119,"1 run, dropped! An absolute sitter put down by Southee. Oh boy. They've already dropped Smith earlier. That hasn't quite gone well. Now another one. batsman miscues the full toss to deep mid-wicket where Southee doesn't have to move. Dear me"
120,"SIX, going, going, gone... Is there anything he can't do? It's a slower ball from bowler, batsman swipes across the line and muscles it over wide long-on"
121,"SIX, he's done it. A couple of sixes to finish the game off just when it was getting away from them. What a player! A full ball on leg stump, batsman whips it away with unbelievable timing over the deep mid-wicket boundary. Pune clinch the game with a ball to spare"
122,"SIX, batsman is looking in good touch, this was banged in short and on the stumps, batsman swivels across, doesn't bother to keep it down. He didn't look in complete control - but has enough to send it sailing over the head of the man at long leg"
123,"FOUR, cracking shot, on a good length and just outside off, batsman leans forward on the drive, seemed to have checked his shot at the lst moment. It went in the air and past bowler, beat mid-off's sprawling dive to his right and rolls away to the fence"
124,"out Caught by Rohit!! Soft dimissal for Mayank. A daft little shot - to be precise. This was a back of a length delivery outside off, the width was there to cut, instead, he attempted something of a forehand jab, doesn't keep it down and hits it straight into the hands of Rohit at mid-off. Not the start Mayank wanted in his new franchise. batsman c Rohit b bowler 6(5) [4s-1]"
125,"FOUR, clubbed, made a great noise as the bat connected with the ball. Length delivery outside off, batsman shuffles across and heaves it over wide mid-wicket, one bounce and over the ropes"
126,"SIX, that's easy pickings for batsman, width on offer from bowler. He stays in his crease, uses his hands to good effect, makes the most of bowler's pace and helps it high and over third man for a maximum"
127,"FOUR, lovely, this is exquisite cricket from batsman, back of a length and well outside off, he waits on it, opens the face of the bat and steers it to the left of wide slip, beats the man getting across from the deep"
128,"FOUR, cracking shot, short and wide from Krunal, batsman doesn't need a second invitation, hangs back and cuts it square on the off-side, beats the fielder in the deep with ease"
129,"FOUR, fifty for batsman. This was banged in short by Hardik, batsman took his eyes off the ball, still went through with the pull, almost went all the way, bounced just in front of the ropes. Hardik looks amused, that ball didn't deserve a boundary"
130,"SIX, stunning bit of timing from batsman and he gets just enough to beat Pollard's leap at long-on. At first instance, it looked like a simple dolly to long-on, the ball kept going and going. Pollard arched back one-handed, got a finger-tip, but the ball was always beating him"
131,"FOUR, cracking shot, batsman is off and running in his IPL career. On a good length and just outside off, he leans forward, presents the full face of the bat and drives it back past the non-striker, no need to run for those"
132,"FOUR, nicely played by batsman, width on offer from bowler. He leans into the shot, opens the face of the bat at the last moment and steers it behind square on the on-side, gets it past backward point and into the fence"
133,"FOUR, lovely, the reverse sweep in full flow from batsman, gets down low and gets it into the gap behind square on the off-side. It was picked up from the middle-stump line as well"
134,"out Caught by Suryakumar Yadav!! Second wicket for Kuldeep. One shot too many from batsman. It was the wrong 'un which was on a fuller length, batsman gives himself room to go inside out, the bat turns on impact and the ball skews towards long-off. Suryakumar runs around the circumference and pouches it cleanly. batsman c Suryakumar Yadav b bowler 15(8) [6s-2]"
135,"FOUR, a well-controlled pull shot from batsman. bowler did not get height on the short of length delivery, just above the waist and batsman got on top of that nicely, rolled his wrists and struck it behind square, beating deep square leg with ease"
136,"FOUR, Pandey tried his best, but the ball still found a way to reach the fence. Width offered outside off, batsman maintains a low base and drills it in front of square, Pandey runs across from sweeper cover, dives and flicks it in but the ball backspins and touches the rope"
137,"2 runs, in no man's land. The googly and batsman takes it on without reading, he charges down and goes across the line, the leading edge balloons up and drops in front of the incoming long-off fielder"
138,"FOUR, for the umpteenth time today bowler has landed it on a shortish length, sat up nicely for batsman, who cut it away fiercely square of the wicket. Timed it superbly as it beat the sweeper cover comfortably"
139,"2 runs, comedy of errors. First batsman gets away with yet another leading edge, goes on the bounce to long-on. He was never wanted the second and Karthik was almost near the bowler's end before batsman decided to go, Karthik makes it in and Kuldeep for some unknown reason doesn't throw it to Uthappa and batsman also survives. He's living a charmed life"
140,"1 run, fifty for batsman. 29th in IPL. Not one of his best. Quicker delivery on the stumps, clocked at 113kph, that's the pace of Bhatia. batsman is hurried into the flick and sends it along the ground to deep mid-wicket"
141,"1 run, dropped! Would you believe it? I have lost count of the number of chances batsman has got today. Flighted delivery on the stumps, batsman kneels down and sweeps to deep backward square, went straight to Yusuf and he split it. He was on the move a bit and that put him off. He's been whisked away from that position by a stoic GG"
142,"SIX, ends the over with a maximum. A much needed one for team. Bit of air on this and a fuller length meant batsman was able to get underneath that, he heaves it high and over the cow corner fence"
143,"1 run, batsman backs away and bowler follows him with a yorker, squeezed to backward point"
144,"FOUR, it is all going batsman's way. He might walk on water today if he wants and get away with it. A well-directed yorker, batsman brings his bat down and squirts it off the inside edge to the fine leg fence. Not far away from the leg-pole"
145,"FOUR, bowler misses the yorker and batsman is in no mood to let him off, doesn't bother to get his front leg in line with the delivery, just goes through the line and smacks it straight down the ground"
146,"1 run, batsman and bowler collide. Short and slow outside off, batsman cuts it on the bounce to backward point. Both were ball watching and batsman dashed into the bowler, bowler is down on the ground and batsman makes his crease. The team skipper goes back to check on bowler and the Englishman is fine"
147,"SIX, batsman picked the bones out of that. Length delivery right in the slot and it was a clean swing of the bat from batsman, lofted it with a straight bat and cleared long-on with ease"
148,"FOUR, batsman is playing a blinder here. bowler goes short and outside off, it was the off-speed delivery and batsman spotted it early, carves it up and over backward point. No need to run for those"
149,"FOUR, 16 runs off the over and not the best of outings for bowler on IPL debut. He finishes with 3-0-35-0. Once more the slower delivery is on the shortish length, batsman waits and cuts it behind square, splitting backward point and short third man to perfection"
150,"FOUR, off-pace delivery and once more batsman read it early, he waited in his crease and stayed leg-side of the ball, lofts it handsomely over the extra cover fielder. All timing there from the Tamil Nadu man"
